personID,status,time
ID 0,entered,1558106608.908134
ID 1,entered,1558106608.908352
ID 0,entered,1558106608.985761
ID 1,entered,1558106608.986527
ID 0,entered,1558106609.064136
ID 1,entered,1558106609.064306
ID 0,entered,1558106609.140074
ID 1,entered,1558106609.140207
ID 0,entered,1558106609.211929
ID 1,entered,1558106609.212063
ID 0,entered,1558106609.274425
ID 1,entered,1558106609.274553
ID 0,entered,1558106609.3609412
ID 1,entered,1558106609.361141
ID 0,entered,1558106609.44155
ID 1,entered,1558106609.441726
ID 0,entered,1558106609.5043871
ID 1,entered,1558106609.504522
ID 0,entered,1558106609.585797
ID 1,entered,1558106609.586029
ID 0,entered,1558106609.668719
ID 1,entered,1558106609.6688771
ID 0,entered,1558106609.739972
ID 1,entered,1558106609.7401972
ID 0,entered,1558106609.824599
ID 1,entered,1558106609.8248131
ID 0,entered,1558106609.894839
ID 1,entered,1558106609.8949718
ID 0,entered,1558106609.9589272
ID 1,entered,1558106609.9590578
ID 0,entered,1558106610.026071
ID 1,entered,1558106610.0266392
ID 0,entered,1558106610.1084642
ID 1,entered,1558106610.108644
ID 0,entered,1558106610.188898
ID 1,entered,1558106610.1891341
ID 0,entered,1558106610.261407
ID 1,entered,1558106610.2615528
ID 0,entered,1558106610.325221
ID 1,entered,1558106610.3254411
ID 0,entered,1558106610.395894
ID 1,entered,1558106610.396123
ID 0,entered,1558106610.466291
ID 1,entered,1558106610.466506
ID 0,entered,1558106610.539524
ID 1,entered,1558106610.539928
ID 0,entered,1558106610.6230872
ID 1,entered,1558106610.623221
ID 0,entered,1558106610.6976588
ID 1,entered,1558106610.697792
ID 0,entered,1558106610.770715
ID 1,entered,1558106610.770847
ID 0,entered,1558106610.845433
ID 1,entered,1558106610.845619
ID 0,entered,1558106610.9345942
ID 1,entered,1558106610.9347851
ID 0,entered,1558106611.0089478
ID 1,entered,1558106611.009313
ID 0,entered,1558106611.096545
ID 1,entered,1558106611.09668
ID 0,entered,1558106611.199727
ID 1,entered,1558106611.199859
ID 0,entered,1558106611.2684338
ID 1,entered,1558106611.2685719
ID 0,entered,1558106611.343306
ID 1,entered,1558106611.343505
ID 0,entered,1558106611.428633
ID 1,entered,1558106611.428767
ID 0,entered,1558106611.495639
ID 1,entered,1558106611.495771
ID 0,entered,1558106611.569254
ID 1,entered,1558106611.56941
ID 0,entered,1558106611.633701
ID 1,entered,1558106611.633871
ID 0,entered,1558106611.698092
ID 1,entered,1558106611.698473
ID 0,entered,1558106611.770489
ID 1,entered,1558106611.770686
ID 0,entered,1558106611.843303
