personID,time
1,1558098193.524045
2,1558098193.524117
0,1558098193.592187
1,1558098193.5922549
2,1558098193.592322
0,1558098193.660758
1,1558098193.660897
2,1558098193.661042
0,1558098193.755893
1,1558098193.755971
2,1558098193.756043
0,1558098193.8357818
1,1558098193.835861
2,1558098193.835928
0,1558098193.922861
1,1558098193.923025
2,1558098193.923182
0,1558098194.0100842
1,1558098194.0102808
2,1558098194.0103838
0,1558098194.074804
1,1558098194.074934
2,1558098194.0750651
0,1558098194.1596942
1,1558098194.15982
2,1558098194.159947
0,1558098194.336195
1,1558098194.336267
2,1558098194.336334
0,1558098194.40695
1,1558098194.407052
2,1558098194.4071229
0,1558098194.478397
1,1558098194.4784708
2,1558098194.478543
0,1558098194.562287
1,1558098194.562386
2,1558098194.5624819
0,1558098194.633572
1,1558098194.6336482
2,1558098194.633721
0,1558098194.704354
1,1558098194.704428
2,1558098194.704499
0,1558098194.769696
1,1558098194.7697668
2,1558098194.769835
0,1558098194.864167
1,1558098194.864237
2,1558098194.864373
0,1558098194.942139
1,1558098194.94223
2,1558098194.942521
0,1558098195.034942
1,1558098195.0350158
2,1558098195.0350878
0,1558098195.114207
1,1558098195.114329
2,1558098195.11447
0,1558098195.187565
1,1558098195.187634
2,1558098195.1877
0,1558098195.274364
1,1558098195.274432
2,1558098195.2744992
0,1558098195.3627572
1,1558098195.3628259
2,1558098195.362893
0,1558098195.432266
1,1558098195.4323359
2,1558098195.4324028
0,1558098195.4995031
1,1558098195.499573
2,1558098195.49964
0,1558098195.5666099
1,1558098195.566682
2,1558098195.5667489
0,1558098195.629431
1,1558098195.629503
2,1558098195.629571
0,1558098195.706486
1,1558098195.7066581
2,1558098195.70678
0,1558098195.782065
1,1558098195.7821372
2,1558098195.782274
0,1558098195.856191
1,1558098195.8563461
2,1558098195.8564322
0,1558098195.926047
1,1558098195.926124
2,1558098195.9261959
0,1558098195.994396
1,1558098195.994476
2,1558098195.994548
0,1558098196.0616992
1,1558098196.06177
2,1558098196.061836
0,1558098196.133648
1,1558098196.133804
2,1558098196.1339462
0,1558098196.21179
1,1558098196.211864
2,1558098196.211936
0,1558098196.2941818
1,1558098196.294253
2,1558098196.2943192
0,1558098196.3548002
1,1558098196.35487
2,1558098196.3549361
0,1558098196.41919
1,1558098196.4192672
2,1558098196.4193401
0,1558098196.48676
1,1558098196.486837
2,1558098196.486909
0,1558098196.554452
1,1558098196.5548
2,1558098196.5555809
0,1558098196.616705
1,1558098196.6167748
2,1558098196.616842
0,1558098196.683837
1,1558098196.683955
2,1558098196.684033
0,1558098196.7455628
1,1558098196.7456331
2,1558098196.7457001
0,1558098196.816784
1,1558098196.816921
2,1558098196.817048
0,1558098196.885216
1,1558098196.88531
2,1558098196.8853838
0,1558098196.947362
1,1558098196.9474409
2,1558098196.947513
0,1558098197.010727
1,1558098197.0108511
2,1558098197.010977
0,1558098197.076224
1,1558098197.076305
2,1558098197.076454
0,1558098197.141841
1,1558098197.141912
2,1558098197.141979
0,1558098197.217319
1,1558098197.2174442
2,1558098197.2175732
0,1558098197.292662
1,1558098197.2927392
2,1558098197.2928262
0,1558098197.361134
1,1558098197.361204
2,1558098197.3612711
0,1558098197.423191
1,1558098197.423262
2,1558098197.423329
0,1558098197.4957492
1,1558098197.495892
2,1558098197.496032
0,1558098197.564867
1,1558098197.564936
2,1558098197.565003
0,1558098197.625343
1,1558098197.6254132
2,1558098197.62548
0,1558098197.6875699
1,1558098197.687645
2,1558098197.687718
0,1558098197.759087
1,1558098197.7591732
2,1558098197.75924
0,1558098197.836738
1,1558098197.836808
2,1558098197.8369431
0,1558098197.903625
1,1558098197.903697
2,1558098197.903764
0,1558098197.972291
1,1558098197.9723608
2,1558098197.972428
0,1558098198.0329669
1,1558098198.03306
2,1558098198.033133
0,1558098198.1019258
1,1558098198.1020522
2,1558098198.102172
0,1558098198.1726348
1,1558098198.172708
2,1558098198.172775
0,1558098198.2364411
1,1558098198.236524
0,1558098198.326708
1,1558098198.3271859
0,1558098198.403557
1,1558098198.403627
0,1558098198.463913
1,1558098198.463994
0,1558098198.545572
1,1558098198.545643
0,1558098198.624681
1,1558098198.6248581
0,1558098198.705699
1,1558098198.70584
0,1558098198.767607
1,1558098198.767678
0,1558098198.828833
1,1558098198.828903
0,1558098198.8990662
1,1558098198.899193
0,1558098198.971752
1,1558098198.971822
0,1558098199.040819
1,1558098199.0408902
0,1558098199.113616
1,1558098199.113686
0,1558098199.173064
1,1558098199.173135
0,1558098199.243524
1,1558098199.2436638
0,1558098199.316052
1,1558098199.316127
0,1558098199.3801
1,1558098199.380169
0,1558098199.4486809
1,1558098199.4487512
0,1558098199.5159209
1,1558098199.515997
0,1558098199.582858
1,1558098199.582934
0,1558098199.66342
1,1558098199.66349
0,1558098199.727983
1,1558098199.728116
0,1558098199.797647
1,1558098199.797716
0,1558098199.866262
1,1558098199.8663318
0,1558098199.9343271
1,1558098199.934409
0,1558098200.005911
1,1558098200.0059881
0,1558098200.0775108
1,1558098200.077583
0,1558098200.141942
1,1558098200.142014
0,1558098200.223635
1,1558098200.223711
0,1558098200.299525
1,1558098200.299595
0,1558098200.364029
1,1558098200.364099
0,1558098200.430475
1,1558098200.4305449
0,1558098200.5043662
1,1558098200.504504
0,1558098200.5713558
1,1558098200.5714262
0,1558098200.654101
1,1558098200.6542552
0,1558098200.713568
1,1558098200.713639
0,1558098200.7756748
1,1558098200.775797
0,1558098200.8418088
1,1558098200.841881
0,1558098200.90849
1,1558098200.908559
0,1558098200.9887412
1,1558098200.9888651
0,1558098201.059626
1,1558098201.059703
0,1558098201.1216588
1,1558098201.1217291
0,1558098201.179248
1,1558098201.179318
0,1558098201.245731
1,1558098201.245801
0,1558098201.3338501
1,1558098201.33392
0,1558098201.402944
1,1558098201.4030201
0,1558098201.467027
1,1558098201.4671612
0,1558098201.539155
1,1558098201.539225
0,1558098201.6000981
1,1558098201.600168
0,1558098201.659658
1,1558098201.6597278
0,1558098201.719303
1,1558098201.719378
0,1558098201.794333
1,1558098201.794403
0,1558098201.86168
1,1558098201.8617952
0,1558098201.923966
1,1558098201.9241312
0,1558098201.984517
1,1558098201.984587
0,1558098202.052814
1,1558098202.0528882
0,1558098202.126055
1,1558098202.1261241
0,1558098202.194783
1,1558098202.1948612
0,1558098202.268655
1,1558098202.268724
0,1558098202.3344488
1,1558098202.334526
0,1558098202.3941271
1,1558098202.394196
0,1558098202.456647
1,1558098202.456725
0,1558098202.5294778
1,1558098202.529751
0,1558098202.600624
1,1558098202.600693
0,1558098202.6700149
1,1558098202.6701949
0,1558098202.732897
1,1558098202.732967
0,1558098202.796326
1,1558098202.796451
0,1558098202.8660328
1,1558098202.866108
0,1558098202.93727
1,1558098202.937341
0,1558098203.015315
1,1558098203.0153852
0,1558098203.0829282
1,1558098203.083054
0,1558098203.162615
1,1558098203.162698
0,1558098203.244122
1,1558098203.2442791
0,1558098203.304767
1,1558098203.3049011
0,1558098203.374636
1,1558098203.374706
0,1558098203.4447098
1,1558098203.444782
0,1558098203.508214
1,1558098203.508283
0,1558098203.575604
1,1558098203.575674
0,1558098203.641921
1,1558098203.6419961
0,1558098203.7335622
1,1558098203.733696
0,1558098203.819938
1,1558098203.820029
0,1558098203.884048
1,1558098203.884117
0,1558098203.948577
1,1558098203.9486458
0,1558098204.00819
1,1558098204.0082612
0,1558098204.074445
1,1558098204.074517
0,1558098204.1481118
1,1558098204.14819
0,1558098204.2335842
1,1558098204.233706
0,1558098204.303505
1,1558098204.303575
0,1558098204.3666718
1,1558098204.3667421
0,1558098204.4290528
1,1558098204.429146
0,1558098204.489179
1,1558098204.489263
0,1558098204.553804
1,1558098204.553879
0,1558098204.620641
1,1558098204.620713
0,1558098204.6950321
1,1558098204.6951082
0,1558098204.759864
1,1558098204.760009
0,1558098204.827307
1,1558098204.8273768
0,1558098204.8948858
1,1558098204.8950112
0,1558098204.973207
1,1558098204.973278
0,1558098205.043312
1,1558098205.043382
0,1558098205.108001
1,1558098205.1080709
0,1558098205.1808069
1,1558098205.180884
0,1558098205.27944
1,1558098205.279634
0,1558098205.355486
1,1558098205.355563
0,1558098205.420636
1,1558098205.4207108
0,1558098205.487457
1,1558098205.487529
0,1558098205.552164
1,1558098205.552321
0,1558098205.7281349
1,1558098205.728309
0,1558098205.8134038
1,1558098205.813474
0,1558098205.885443
1,1558098205.885513
0,1558098205.953714
1,1558098205.953793
0,1558098206.0277069
1,1558098206.027777
0,1558098206.09006
1,1558098206.090134
0,1558098206.168073
1,1558098206.168143
0,1558098206.2597802
1,1558098206.259852
0,1558098206.347738
1,1558098206.347808
0,1558098206.415874
1,1558098206.4159439
0,1558098206.486468
1,1558098206.486559
0,1558098206.5547688
1,1558098206.5548391
0,1558098206.626018
1,1558098206.6260889
0,1558098206.691564
1,1558098206.691697
0,1558098206.774105
1,1558098206.7742348
0,1558098206.85313
1,1558098206.8532
0,1558098206.919991
1,1558098206.9200609
0,1558098206.994314
1,1558098206.994394
0,1558098207.067004
1,1558098207.067075
0,1558098207.130035
1,1558098207.130105
0,1558098207.2113512
1,1558098207.211426
0,1558098207.2840588
1,1558098207.284134
0,1558098207.3500109
1,1558098207.350086
0,1558098207.417131
1,1558098207.4172008
0,1558098207.489266
1,1558098207.489336
0,1558098207.5624828
1,1558098207.5625532
0,1558098207.624317
1,1558098207.624394
0,1558098207.680375
1,1558098207.680445
0,1558098207.745074
1,1558098207.7451441
0,1558098207.8296041
1,1558098207.8297331
0,1558098207.918962
1,1558098207.919032
0,1558098208.00653
1,1558098208.006623
0,1558098208.091574
1,1558098208.091711
0,1558098208.16721
1,1558098208.167385
0,1558098208.24964
1,1558098208.2497091
0,1558098208.447872
1,1558098208.447944
0,1558098208.5339048
1,1558098208.533977
0,1558098208.603691
1,1558098208.603761
0,1558098208.682783
1,1558098208.682855
0,1558098208.755446
1,1558098208.75556
0,1558098208.816013
1,1558098208.816083
0,1558098208.878869
1,1558098208.8789382
0,1558098208.938615
1,1558098208.938762
0,1558098209.000493
1,1558098209.000619
0,1558098209.057704
1,1558098209.057774
0,1558098209.1193001
1,1558098209.11937
0,1558098209.177629
1,1558098209.177699
0,1558098209.246829
1,1558098209.246899
0,1558098209.3103738
1,1558098209.3104482
0,1558098209.372761
1,1558098209.3728309
0,1558098209.4351518
1,1558098209.435227
0,1558098209.504585
1,1558098209.5046542
0,1558098209.581574
1,1558098209.581644
0,1558098209.6414359
1,1558098209.641506
0,1558098209.704461
1,1558098209.704531
0,1558098209.767352
1,1558098209.767427
0,1558098209.82952
1,1558098209.829589
0,1558098209.9190478
1,1558098209.919144
0,1558098209.989366
1,1558098209.9894972
0,1558098210.053181
1,1558098210.053252
0,1558098210.114395
1,1558098210.1144671
0,1558098210.1796842
1,1558098210.179754
0,1558098210.269618
1,1558098210.269692
0,1558098210.353235
1,1558098210.353354
0,1558098210.424326
1,1558098210.4244008
0,1558098210.502351
1,1558098210.5027351
0,1558098210.564013
1,1558098210.5640829
0,1558098210.622986
1,1558098210.623056
0,1558098210.685471
1,1558098210.6855402
0,1558098210.756657
1,1558098210.756744
0,1558098210.825282
1,1558098210.825351
0,1558098210.886369
1,1558098210.88644
0,1558098210.946149
1,1558098210.946267
0,1558098211.011391
1,1558098211.011461
0,1558098211.0795588
1,1558098211.079635
0,1558098211.159023
1,1558098211.159153
0,1558098211.2483819
1,1558098211.2484639
0,1558098211.318301
1,1558098211.318372
0,1558098211.390661
1,1558098211.3907342
0,1558098211.46176
1,1558098211.461836
0,1558098211.526646
1,1558098211.5267148
0,1558098211.611149
1,1558098211.61124
0,1558098211.6761951
1,1558098211.676265
0,1558098211.740459
1,1558098211.7405381
0,1558098211.802287
1,1558098211.802357
0,1558098211.8694751
1,1558098211.8695512
0,1558098211.9462972
1,1558098211.946374
0,1558098212.008637
1,1558098212.008706
0,1558098212.0699708
1,1558098212.0700412
0,1558098212.128361
1,1558098212.128431
0,1558098212.189142
1,1558098212.189218
0,1558098212.262814
1,1558098212.262941
0,1558098212.3452642
1,1558098212.345394
0,1558098212.41277
1,1558098212.412844
0,1558098212.479497
1,1558098212.479566
0,1558098212.554847
1,1558098212.554961
0,1558098212.6333
1,1558098212.633387
0,1558098212.699509
1,1558098212.699636
0,1558098212.7619572
1,1558098212.762039
0,1558098212.8491452
1,1558098212.849236
0,1558098212.91648
1,1558098212.91655
0,1558098212.9810188
1,1558098212.981089
0,1558098213.087602
1,1558098213.087761
0,1558098213.170272
1,1558098213.170342
0,1558098213.26193
1,1558098213.2619991
0,1558098213.320535
1,1558098213.320605
0,1558098213.381957
1,1558098213.382027
0,1558098213.444277
1,1558098213.444347
0,1558098213.513404
1,1558098213.513521
0,1558098213.575628
1,1558098213.5757031
0,1558098213.636179
1,1558098213.636631
0,1558098213.6949792
1,1558098213.695049
0,1558098213.7530282
1,1558098213.753098
0,1558098213.811934
1,1558098213.812004
0,1558098213.878112
1,1558098213.878187
0,1558098213.9449668
1,1558098213.9450371
0,1558098214.0038579
1,1558098214.0039291
0,1558098214.063283
1,1558098214.063352
0,1558098214.121593
1,1558098214.121663
0,1558098214.187266
1,1558098214.1873379
0,1558098214.248478
1,1558098214.248548
0,1558098214.323945
1,1558098214.324016
0,1558098214.3898351
1,1558098214.389905
